batch_id,trial,warmup,system,config,phase,ticks,ns_since_e2,delta_ticks,delta_ns,source
20260818T013740Z-1,10,0,whimbrel,release-default,established,896960,66408800,7778,777800,serial
20260818T013740Z-1,10,0,whimbrel,release-default,serving_ready,905988,67311600,9028,902800,serial
20260818T013740Z-1,10,0,whimbrel,release-default,net_init_done,958203,72533100,52215,5221500,serial
20260818T013740Z-1,10,0,whimbrel,release-default,heap_init,958439,72556700,236,23600,serial
20260818T013740Z-1,10,0,whimbrel,release-default,accounting,979881,74700900,21442,2144200,serial
20260818T013740Z-1,10,0,whimbrel,release-default,freeze,980904,74803200,1023,102300,serial
20260818T013740Z-1,10,0,whimbrel,release-default,sret,983190,75031800,2286,228600,serial
20260818T013740Z-1,10,0,whimbrel,release-default,E3g,1002582,76971000,19392,1939200,serial
20260818T013740Z-1,10,0,whimbrel,release-default,E3g_doorbell,1006462,77359000,3880,388000,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,_start,236632,0,0,0,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,stamp_a,237082,45000,450,45000,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,stamp_b,237138,50600,56,5600,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,stvec,239738,310600,2600,260000,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,frame_init,241186,455400,1448,144800,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,task_init,247169,1053700,5983,598300,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,page_build,251202,1457000,4033,403300,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,page_verify,258660,2202800,7458,745800,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,activate,259554,2292200,894,89400,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,virtq_init,268051,3141900,8497,849700,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,DRIVER_OK,273549,3691700,5498,549800,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,first_rx,276593,3996100,3044,304400,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,syn_rx,279344,4271200,2751,275100,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,established,281996,4536400,2652,265200,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,serving_ready,285618,4898600,3622,362200,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,net_init_done,288456,5182400,2838,283800,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,heap_init,288680,5204800,224,22400,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,accounting,288940,5230800,260,26000,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,freeze,289064,5243200,124,12400,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,sret,289256,5262400,192,19200,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,E3g,301780,6514800,12524,1252400,serial
20260818T013740Z-1,8,0,whimbrel,release-fast-boot,E3g_doorbell,302574,6594200,794,79400,serial
20260818T013740Z-1,13,0,whimbrel,release-default,_start,235058,0,0,0,serial
20260818T013740Z-1,13,0,whimbrel,release-default,stamp_a,235516,45800,458,45800,serial
20260818T013740Z-1,13,0,whimbrel,release-default,stamp_b,235571,51300,55,5500,serial
20260818T013740Z-1,13,0,whimbrel,release-default,stvec,245876,1081800,10305,1030500,serial
20260818T013740Z-1,13,0,whimbrel,release-default,frame_init,550633,31557500,304757,30475700,serial
20260818T013740Z-1,13,0,whimbrel,release-default,task_init,584015,34895700,33382,3338200,serial
20260818T013740Z-1,13,0,whimbrel,release-default,page_build,591132,35607400,7117,711700,serial
20260818T013740Z-1,13,0,whimbrel,release-default,page_verify,711226,47616800,120094,12009400,serial
20260818T013740Z-1,13,0,whimbrel,release-default,activate,714056,47899800,2830,283000,serial
20260818T013740Z-1,13,0,whimbrel,release-default,virtq_init,785218,55016000,71162,7116200,serial
20260818T013740Z-1,13,0,whimbrel,release-default,DRIVER_OK,849293,61423500,64075,6407500,serial
20260818T013740Z-1,13,0,whimbrel,release-default,first_rx,883879,64882100,34586,3458600,serial
20260818T013740Z-1,13,0,whimbrel,release-default,syn_rx,896449,66139100,12570,1257000,serial
20260818T013740Z-1,13,0,whimbrel,release-default,established,904300,66924200,7851,785100,serial
20260818T013740Z-1,13,0,whimbrel,release-default,serving_ready,913397,67833900,9097,909700,serial
20260818T013740Z-1,13,0,whimbrel,release-default,net_init_done,966537,73147900,53140,5314000,serial
20260818T013740Z-1,13,0,whimbrel,release-default,heap_init,966766,73170800,229,22900,serial
20260818T013740Z-1,13,0,whimbrel,release-default,accounting,988324,75326600,21558,2155800,serial
20260818T013740Z-1,13,0,whimbrel,release-default,freeze,989355,75429700,1031,103100,serial
20260818T013740Z-1,13,0,whimbrel,release-default,sret,991613,75655500,2258,225800,serial
20260818T013740Z-1,13,0,whimbrel,release-default,E3g,1010851,77579300,19238,1923800,serial
20260818T013740Z-1,13,0,whimbrel,release-default,E3g_doorbell,1014768,77971000,3917,391700,serial
20260818T013740Z-1,32,0,whimbrel,release-default,_start,236040,0,0,0,serial
20260818T013740Z-1,32,0,whimbrel,release-default,stamp_a,236498,45800,458,45800,serial
20260818T013740Z-1,32,0,whimbrel,release-default,stamp_b,236554,51400,56,5600,serial
20260818T013740Z-1,32,0,whimbrel,release-default,stvec,246858,1081800,10304,1030400,serial
20260818T013740Z-1,32,0,whimbrel,release-default,frame_init,561040,32500000,314182,31418200,serial
20260818T013740Z-1,32,0,whimbrel,release-default,task_init,594347,35830700,33307,3330700,serial
20260818T013740Z-1,32,0,whimbrel,release-default,page_build,601518,36547800,7171,717100,serial
20260818T013740Z-1,32,0,whimbrel,release-default,page_verify,719953,48391300,118435,11843500,serial
20260818T013740Z-1,32,0,whimbrel,release-default,activate,722800,48676000,2847,284700,serial
20260818T013740Z-1,32,0,whimbrel,release-default,virtq_init,793004,55696400,70204,7020400,serial
20260818T013740Z-1,32,0,whimbrel,release-default,DRIVER_OK,856183,62014300,63179,6317900,serial
20260818T013740Z-1,32,0,whimbrel,release-default,first_rx,890624,65458400,34441,3444100,serial
20260818T013740Z-1,32,0,whimbrel,release-default,syn_rx,902919,66687900,12295,1229500,serial
20260818T013740Z-1,32,0,whimbrel,release-default,established,910737,67469700,7818,781800,serial
20260818T013740Z-1,32,0,whimbrel,release-default,serving_ready,919692,68365200,8955,895500,serial
20260818T013740Z-1,32,0,whimbrel,release-default,net_init_done,971781,73574100,52089,5208900,serial
20260818T013740Z-1,32,0,whimbrel,release-default,heap_init,972016,73597600,235,23500,serial
20260818T013740Z-1,32,0,whimbrel,release-default,accounting,993491,75745100,21475,2147500,serial
20260818T013740Z-1,32,0,whimbrel,release-default,freeze,994519,75847900,1028,102800,serial
20260818T013740Z-1,32,0,whimbrel,release-default,sret,996774,76073400,2255,225500,serial
20260818T013740Z-1,32,0,whimbrel,release-default,E3g,1016099,78005900,19325,1932500,serial
20260818T013740Z-1,32,0,whimbrel,release-default,E3g_doorbell,1020039,78399900,3940,394000,serial
