# generated by scripts/linux-initcall-label.sh — D-0072
# Image-trimmed sha256=fe821d1d5fcc0c8d4474504c48d3024e0991c37ba74d40c675a0158b61e44fa2
# System.map sha256=3860b1aec2b3cd2ee5944b1831aeea8b12ad163525f38b19de24dab655ab8763 path=/home/victor/src/Whimbrel/bench/linux/build/linux-trimmed/System.map
# cmdline=console=ttyS0 loglevel=7 printk.time=1 initcall_debug ignore_loglevel rdinit=/init
# qemu=QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2)
# serial=/home/victor/src/Whimbrel/results/serial/linux-trimmed-ignore-loglevel-20260818T084831Z.log
#
## Hole window (labels for gap 1), sorted by usecs

| rank | usecs | symbol | ret | printk_s |
| 203 | 25 | `pm_debugfs_init` | 0 | 0.430311 |
| 204 | 25 | `genpd_debug_init` | 0 | 0.437309 |
| 205 | 25 | `inet_blackhole_dev_init` | 0 | 0.447860 |
| 206 | 24 | `sbi_cppc_init` | 0 | 0.150773 |
| 207 | 24 | `axp20x_regulator_driver_init` | 0 | 0.154201 |
| 208 | 24 | `cfi_probe_init` | 0 | 0.357199 |
| 209 | 24 | `dt_cpufreq_platdrv_init` | 0 | 0.389943 |
| 210 | 24 | `extcon_class_init` | 0 | 0.398064 |
| 211 | 23 | `mmc_spi_driver_init` | 0 | 0.391113 |
| 212 | 23 | `ks_driver_init` | 0 | 0.396154 |
| 213 | 22 | `start_dirtytime_writeback` | 0 | 0.132738 |
| 214 | 22 | `acpi_fan_driver_init` | 0 | 0.143990 |
| 215 | 22 | `ch_driver_init` | 0 | 0.395175 |
| 216 | 22 | `unbound_reg_init` | 0 | 0.432020 |
| 217 | 21 | `backing_aio_init` | 0 | 0.105063 |
| 218 | 21 | `nfs4flexfilelayout_init` | 0 | 0.138838 |
| 219 | 21 | `ged_driver_init` | 0 | 0.143903 |
| 220 | 21 | `axp20x_i2c_driver_init` | 0 | 0.355942 |
| 221 | 20 | `virtio_balloon_driver_init` | 0 | 0.154144 |
| 222 | 20 | `topology_sysfs_init` | 0 | 0.355303 |
| 223 | 20 | `phylink_init` | 0 | 0.358762 |
| 224 | 20 | `ez_driver_init` | 0 | 0.395637 |
| 225 | 19 | `init_grace` | 0 | 0.132914 |
| 226 | 19 | `acpi_ac_init` | -19 | 0.143931 |
| 227 | 19 | `acpi_button_driver_init` | 0 | 0.143959 |
| 228 | 19 | `a4_driver_init` | 0 | 0.394481 |
| 229 | 19 | `regulator_init_complete` | 0 | 0.673309 |
| 230 | 19 | `of_platform_sync_state_init` | 0 | 0.673537 |
| 231 | 18 | `register_warn_debugfs` | 0 | 0.127685 |
| 232 | 18 | `mpfs_reset_driver_init` | 0 | 0.154411 |
| 233 | 18 | `init_subsystem` | 0 | 0.446099 |
| 234 | 17 | `belkin_driver_init` | 0 | 0.394715 |
| 235 | 17 | `ms_driver_init` | 0 | 0.396387 |
| 236 | 17 | `mr_driver_init` | 0 | 0.396620 |
| 237 | 17 | `redragon_driver_init` | 0 | 0.396849 |
| 238 | 17 | `riscv_pmu_legacy_devinit` | 0 | 0.445867 |
| 239 | 16 | `init_dynamic_event` | 0 | 0.104651 |
| 240 | 16 | `pnpacpi_init` | 0 | 0.105650 |
| 241 | 16 | `ch_driver_init` | 0 | 0.394941 |
| 242 | 16 | `cp_driver_init` | 0 | 0.395402 |
| 243 | 16 | `ite_driver_init` | 0 | 0.395868 |
| 244 | 16 | `late_trace_init` | 0 | 0.448875 |
| 245 | 15 | `virtio_input_driver_init` | 0 | 0.154168 |
| 246 | 15 | `virtio_rng_driver_init` | 0 | 0.354541 |
| 247 | 15 | `init_subsystem` | 0 | 0.432582 |
| 248 | 15 | `fault_around_debugfs` | 0 | 0.434888 |
| 249 | 15 | `check_early_ioremap_leak` | 0 | 0.435328 |
| 250 | 15 | `mg_debugfs_init` | 0 | 0.435553 |
| 251 | 14 | `spacemit_k1_reset_driver_init` | 0 | 0.154546 |
| 252 | 14 | `bpf_kmem_cache_iter_init` | 0 | 0.434437 |
| 253 | 13 | `tk_debug_sleep_time_init` | 0 | 0.431076 |
